                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1419,                 13.804,                 3.7823,                0.43763,                0.28118,                0.28889,                0.09902,                 2.8936,                 12.327,                 3.5958,             0.00066066,             0.00066066,             0.00066066
                      2,                 2.9512,                 8.1251,                 3.4794,                0.38061,                0.44171,                0.35736,                0.15232,                 3.1359,                 5.4722,                   3.86,              0.0011959,              0.0011959,              0.0011959
                      3,                 2.8896,                 5.1973,                 3.4523,                0.36151,                0.34921,                0.30827,                0.13726,                 3.1104,                 4.7281,                  3.771,              0.0015992,              0.0015992,              0.0015992
                      4,                 2.9051,                 3.7895,                 3.4477,                 0.4234,                0.54195,                0.41461,                0.19393,                 2.8746,                  3.744,                 3.4444,               0.001406,               0.001406,               0.001406
                      5,                  2.737,                 3.0783,                 3.2724,                0.51908,                0.66667,                0.58882,                0.29529,                 2.9735,                 2.8258,                  3.551,               0.001208,               0.001208,               0.001208
                      6,                 2.6317,                 2.6711,                 3.1967,                0.47438,                0.59184,                0.49358,                0.20079,                 3.0012,                 3.4715,                 3.9493,                0.00101,                0.00101,                0.00101
                      7,                 2.4878,                 2.4541,                 3.1002,                0.54213,                0.64704,                0.61661,                 0.3427,                 2.5736,                 2.5785,                 3.1429,               0.000812,               0.000812,               0.000812
                      8,                 2.3736,                 2.2032,                 2.9691,                0.46279,                0.59864,                0.47862,                0.22174,                 2.7793,                 3.2426,                 3.3433,               0.000614,               0.000614,               0.000614
                      9,                 2.2612,                 2.0255,                 2.8844,                0.58222,                 0.5805,                0.54209,                0.23229,                 3.1216,                 3.1452,                 4.1549,               0.000416,               0.000416,               0.000416
                     10,                 2.1563,                 1.8925,                 2.7591,                0.60606,                  0.678,                0.65297,                0.35013,                 2.5854,                 2.6471,                 3.1261,               0.000218,               0.000218,               0.000218
